ID,EMP,NAME,DIFFICULTY,HOURS_WORKED,HOURS_NEEDED,CLIENT_RATING,DATE_OF_COMPLETION,MONEY_EARNED
72,14,C++ development,3,51,50,5,1941-1-30,490
73,14,Website design,9,88,52,7,1965-6-13,1035
74,14,Backend development,10,56,50,3,1979-12-12,989
75,14,Java development,7,79,84,10,1941-8-27,404
76,14,Full stack development,5,79,66,7,1961-6-15,189
77,14,Java development,4,79,55,7,1941-6-25,701
78,15,Windows app development,8,52,74,4,1949-7-20,949
79,15,Java development,5,72,65,8,1948-9-5,987
80,15,Backend development,5,54,67,7,1952-12-28,835
81,15,Cross platform development,1,52,68,9,1948-7-22,306
82,15,Android app development,1,78,64,5,1973-8-23,430
83,16,Backend development,8,63,83,3,1942-2-5,836
84,16,C++ development,2,76,72,3,1949-8-25,824
85,16,Windows app development,5,51,56,8,1940-8-14,1010
86,16,Java development,4,84,96,7,1970-9-18,1040
87,16,Android app development,7,93,64,5,1979-2-1,744
88,16,Cross platform development,7,61,88,9,1977-2-23,357
89,17,C++ development,7,80,64,5,1964-2-18,213
90,17,Android app development,3,71,58,3,1961-11-27,755
91,17,Android app development,3,82,71,8,1973-12-8,1089
92,17,Java development,5,57,89,4,1954-3-1,350
93,17,C++ development,3,82,51,6,1941-5-24,1066
94,17,Windows app development,3,77,52,8,1957-10-11,881
95,17,Android app development,10,80,90,7,1976-11-15,1021
96,17,C++ development,8,57,51,2,1959-10-9,853
97,18,Cross platform development,9,87,59,8,1945-10-1,253
98,18,Windows app development,1,78,54,6,1950-11-29,207
99,18,Website design,7,90,76,9,1950-8-6,320
100,18,Cross platform development,10,88,94,6,1975-8-4,233
101,18,Backend development,4,78,79,9,1951-2-10,534
102,19,Android app development,9,76,69,6,1955-10-3,955
103,19,C++ development,2,90,75,3,1954-10-26,822
104,19,Backend development,2,95,54,6,1967-10-29,721
105,19,Website design,2,85,99,8,1977-12-13,1080
106,19,Backend development,7,64,68,3,1945-4-5,1018
107,19,Java development,3,58,86,5,1951-3-10,668
108,19,Backend development,5,80,99,10,1944-4-21,567
109,20,Backend development,3,94,95,2,1940-5-14,772
110,20,Backend development,4,74,55,2,1955-12-30,170
111,20,Android app development,6,59,60,8,1947-2-2,583
112,20,Backend development,6,83,68,10,1965-12-28,500
113,20,Website design,5,81,78,4,1978-1-27,699
114,20,Linux development,6,97,57,9,1965-9-4,636
115,20,C++ development,1,92,69,5,1961-2-5,332
116,21,Backend development,1,61,72,9,1962-4-15,442
117,21,Java development,7,90,65,1,1968-8-2,577
118,21,Java development,3,57,62,10,1940-4-3,207
119,21,Windows app development,8,53,99,9,1946-2-25,836
120,21,Full stack development,3,94,50,8,1946-9-17,995
121,21,Cross platform development,9,91,91,7,1969-7-2,977
122,21,Website design,8,82,99,6,1978-7-11,901
123,21,Android app development,4,65,68,7,1942-10-29,125
124,22,Java development,1,82,71,8,1945-9-3,538
125,22,Linux development,6,87,69,10,1963-12-9,449
126,22,C++ development,2,52,70,6,1960-7-27,576
127,22,C++ development,4,77,91,10,1969-2-20,211
128,23,Windows app development,2,64,73,10,1968-1-9,450
129,23,C++ development,3,79,80,8,1978-10-14,244
130,23,Website design,7,56,61,10,1972-10-22,956
131,23,Java development,8,63,68,10,1975-8-26,230
132,23,Full stack development,8,92,54,2,1975-4-14,685
133,23,Full stack development,8,85,58,2,1951-11-15,599
134,23,C++ development,10,65,76,4,1974-6-7,953
135,23,Cross platform development,4,69,95,1,1955-2-26,280
136,24,Android app development,6,87,75,6,1973-4-15,481
137,24,Backend development,8,73,86,6,1968-5-10,866
138,24,Cross platform development,5,96,50,7,1960-9-15,581
139,24,Backend development,5,82,97,8,1945-1-23,588
140,24,Android app development,10,95,95,5,1975-1-17,490
141,24,Website design,10,50,51,6,1978-12-24,662
142,24,Website design,3,77,74,9,1970-3-1,362
143,25,Linux development,6,59,95,7,1959-2-5,176
144,25,Windows app development,2,60,81,2,1953-1-1,492
145,25,Windows app development,4,80,67,1,1958-11-25,494
146,25,Website design,8,89,85,7,1969-8-29,276
147,25,Cross platform development,6,62,91,2,1976-2-1,1041
148,25,Website design,1,93,59,7,1973-4-18,475
149,26,Windows app development,3,83,73,3,1946-12-18,771
150,26,Windows app development,3,69,70,6,1953-5-5,673
151,26,Backend development,8,77,58,10,1950-8-16,171
152,26,Linux development,9,52,61,5,1976-3-13,338
153,26,Android app development,8,62,89,3,1975-11-12,975
154,26,Full stack development,7,71,65,8,1947-6-7,683
155,26,Cross platform development,3,53,77,5,1950-6-2,1055
156,26,Windows app development,3,95,97,3,1969-8-4,469
157,27,Cross platform development,9,56,86,9,1977-5-4,243
158,27,Windows app development,3,84,78,4,1952-4-29,167
159,27,Backend development,2,50,98,6,1958-1-3,457
160,27,Cross platform development,4,85,91,2,1962-8-25,932
161,27,Windows app development,1,89,97,3,1958-12-21,817
162,28,Windows app development,2,58,59,9,1954-10-5,424
163,28,Full stack development,6,77,70,7,1950-11-15,100
164,28,Full stack development,2,55,50,4,1977-5-18,567
165,28,Full stack development,4,74,93,5,1967-8-19,825
166,28,Full stack development,8,96,85,3,1976-4-24,426
167,28,C++ development,4,72,77,3,1978-10-29,602
168,28,Full stack development,1,53,83,1,1947-5-28,123
169,28,Backend development,6,75,99,10,1964-5-23,508
170,29,Linux development,6,51,58,6,1966-11-8,269
171,29,Backend development,5,84,92,10,1952-10-11,1012
172,29,Java development,10,83,99,3,1962-4-7,448
173,29,Website design,1,71,78,1,1958-5-13,334
174,30,Full stack development,5,51,79,7,1968-9-24,776
175,30,Java development,1,59,82,8,1943-8-27,381
176,30,Windows app development,6,52,94,10,1953-12-4,808
177,30,C++ development,2,87,76,5,1961-11-25,270
178,31,Linux development,9,60,61,1,1978-5-4,713
179,31,Cross platform development,8,62,51,7,1955-12-29,218
180,31,Full stack development,4,63,74,9,1942-9-1,805
181,31,Windows app development,5,95,72,1,1944-12-8,689
182,31,Cross platform development,5,86,68,1,1958-7-28,163
183,32,Android app development,9,96,65,2,1970-2-2,207
184,32,C++ development,4,87,69,5,1956-3-25,154
185,32,Backend development,3,86,54,2,1968-7-25,689
186,32,Android app development,10,90,89,7,1955-5-3,701
187,33,Website design,10,76,51,3,1946-2-10,867
188,33,Backend development,4,83,58,2,1973-1-22,762
189,33,Cross platform development,7,80,58,7,1979-6-18,353
190,33,Website design,5,58,85,7,1956-6-2,459
191,34,Full stack development,7,98,62,2,1973-10-2,340
192,34,Windows app development,1,91,93,8,1965-7-27,290
193,34,Java development,6,72,73,10,1971-4-8,327
194,34,C++ development,5,68,85,1,1966-2-12,527
195,34,Full stack development,9,74,71,10,1969-8-24,398
196,34,Backend development,2,87,69,5,1942-10-15,172
197,34,Cross platform development,10,92,64,6,1973-4-26,1092
198,35,Linux development,6,62,56,1,1949-3-26,676
199,35,Backend development,2,90,86,5,1948-3-12,1018
200,35,Android app development,1,53,97,9,1951-11-2,775
201,35,C++ development,7,64,74,6,1947-8-15,799
202,36,Android app development,1,92,75,5,1965-9-28,835
203,36,Windows app development,9,54,56,4,1969-7-25,364
204,36,Backend development,7,60,50,8,1961-12-22,1043
205,36,Full stack development,5,65,61,7,1961-1-13,546
206,37,Linux development,5,65,92,1,1943-11-9,412
207,37,Android app development,1,69,86,4,1974-3-2,356
208,37,Backend development,6,57,54,9,1944-3-19,151
209,37,Backend development,2,94,99,2,1968-1-12,995
210,37,Website design,3,63,52,3,1968-2-28,392
211,37,Java development,6,66,79,1,1941-8-7,289
212,37,Website design,10,89,88,4,1946-2-18,862
213,38,C++ development,1,52,57,4,1967-7-15,799
214,38,Linux development,6,90,65,10,1971-8-3,245
215,38,C++ development,8,58,91,10,1972-2-30,763
216,38,Cross platform development,2,76,83,8,1950-5-3,588
217,38,Android app development,5,76,67,8,1963-12-17,301
218,38,Java development,8,81,84,9,1953-4-24,1081
219,39,Cross platform development,2,99,89,6,1967-9-3,409
220,39,C++ development,10,59,90,3,1943-9-19,639
221,39,Cross platform development,6,73,82,5,1950-8-27,293
222,39,Full stack development,8,71,65,10,1970-11-27,931
223,39,Website design,10,50,90,3,1958-8-1,974
224,40,Android app development,5,81,99,10,1949-1-17,818
225,40,Website design,5,76,90,1,1960-9-21,1048
226,40,Backend development,6,94,78,2,1977-6-6,835
227,40,Website design,7,51,92,10,1954-3-6,294
228,40,Backend development,10,53,60,4,1950-3-25,181
229,40,Full stack development,9,52,81,4,1963-6-23,550
230,41,Windows app development,4,64,78,7,1962-12-1,193
231,41,Linux development,9,60,74,10,1961-3-10,216
232,41,Windows app development,5,67,56,7,1977-10-17,998
233,41,Backend development,8,62,82,5,1963-8-25,124
234,41,C++ development,8,80,84,8,1974-2-20,418
235,42,Windows app development,1,54,62,4,1972-8-24,825
236,42,Java development,6,68,72,7,1970-9-27,117
237,42,Linux development,5,57,52,1,1976-11-25,879
238,42,Android app development,5,79,74,4,1969-10-1,995
239,42,Full stack development,6,53,90,9,1971-3-3,670
240,43,Windows app development,2,54,95,6,1963-6-28,1034
241,43,Android app development,5,59,66,7,1942-2-14,689
242,43,Cross platform development,7,61,52,3,1948-5-9,142
243,43,Cross platform development,2,63,52,9,1941-11-26,654
244,43,Linux development,2,83,60,4,1951-4-11,168
245,43,C++ development,4,77,72,2,1955-6-16,612
246,44,Website design,2,91,94,10,1964-11-7,223
247,44,Windows app development,4,62,57,2,1944-11-20,337
248,44,Website design,10,83,84,4,1967-5-11,433
249,44,Linux development,1,80,63,9,1978-8-2,906
250,44,Windows app development,5,90,93,6,1951-4-4,492
251,44,Linux development,10,83,92,10,1956-9-19,206
252,44,C++ development,3,53,93,5,1977-10-30,658
253,45,Linux development,10,76,52,1,1957-7-18,553
254,45,Linux development,5,88,67,7,1947-5-25,939
255,45,Cross platform development,2,71,77,1,1970-11-26,419
256,45,Java development,5,59,63,9,1943-9-1,757
257,46,Windows app development,3,61,86,3,1951-1-10,960
258,46,C++ development,8,55,83,3,1968-7-21,986
259,46,Full stack development,3,75,60,1,1978-9-30,511
260,46,Android app development,4,78,80,5,1947-8-17,174
261,47,C++ development,8,90,92,8,1955-10-6,658
262,47,Website design,1,85,52,7,1958-11-21,759
263,47,C++ development,4,80,53,4,1943-5-10,628
264,47,Android app development,7,96,72,1,1944-11-22,387
265,47,Full stack development,10,86,88,6,1947-1-12,221
266,47,Full stack development,1,78,50,3,1972-3-29,555
267,48,Android app development,9,64,93,4,1978-3-26,973
268,48,Linux development,7,96,99,7,1975-8-15,523
269,48,Linux development,1,93,76,2,1953-2-3,981
270,48,C++ development,4,78,95,9,1972-7-22,269
271,48,Java development,1,56,51,1,1972-5-14,669
272,48,Linux development,2,67,63,3,1973-7-28,610
273,48,Windows app development,7,86,52,3,1978-12-13,572
274,48,Full stack development,10,89,87,1,1947-3-8,807
275,49,Java development,3,68,74,8,1945-8-23,932
276,49,Full stack development,7,83,68,6,1975-3-23,846
277,49,Cross platform development,3,85,71,6,1955-8-8,278
278,49,Android app development,10,86,64,1,1979-1-26,736
279,49,Android app development,2,67,82,7,1942-9-24,169
280,49,C++ development,10,90,96,3,1957-2-26,330
281,49,Java development,3,67,93,8,1949-5-24,875
282,50,Full stack development,1,89,77,4,1967-3-7,460
283,50,Windows app development,8,55,66,8,1951-11-30,545
284,50,Linux development,9,72,80,2,1973-5-14,1000
285,50,Java development,3,84,98,9,1959-9-30,891
286,50,Java development,5,89,65,5,1951-12-25,449
287,50,Android app development,7,63,91,1,1956-12-4,525
288,50,Cross platform development,9,79,60,5,1963-9-19,851
289,51,Linux development,10,67,76,3,1971-1-17,684
290,51,Windows app development,1,53,73,10,1946-12-17,640
291,51,C++ development,5,80,62,6,1944-6-8,515
292,51,Full stack development,7,90,92,9,1965-4-21,702
293,51,Windows app development,7,76,78,8,1974-4-7,771
294,51,Linux development,9,68,66,5,1968-2-3,621
295,51,Windows app development,8,92,88,6,1942-2-23,1036
296,52,C++ development,10,93,53,8,1963-5-25,771
297,52,C++ development,9,56,69,10,1959-8-3,163
298,52,Windows app development,4,59,58,9,1950-10-14,1070
299,52,Windows app development,3,91,77,1,1944-6-24,1025
300,52,Website design,6,92,69,6,1949-4-24,310
301,52,Full stack development,10,54,76,9,1961-1-25,1011
302,52,Java development,5,82,94,9,1948-1-13,497
303,53,Cross platform development,8,54,60,6,1977-8-16,450
304,53,Website design,10,74,90,6,1975-6-20,504
305,53,Cross platform development,4,74,63,3,1974-6-1,834
306,53,C++ development,5,71,97,1,1942-3-13,661
307,54,Full stack development,7,87,93,1,1952-8-22,998
308,54,C++ development,10,92,77,3,1958-10-4,292
309,54,Full stack development,1,72,82,6,1956-5-1,258
310,54,Full stack development,3,53,51,2,1972-2-10,129
311,54,C++ development,7,81,95,4,1962-2-17,1048
312,55,Windows app development,9,50,86,5,1960-7-4,756
313,55,Website design,5,81,63,5,1946-9-19,339
314,55,Backend development,6,82,70,2,1970-3-9,146
315,55,C++ development,1,78,95,9,1972-7-28,1021
316,55,Linux development,4,70,71,1,1962-1-28,1025
317,55,Backend development,4,50,75,4,1972-10-5,927
318,55,Backend development,7,72,81,1,1951-4-23,476
319,55,Website design,5,94,54,4,1956-1-18,228
320,56,Java development,7,98,60,10,1949-5-9,311
321,56,Full stack development,2,72,60,10,1940-2-19,912
322,56,C++ development,10,91,62,10,1947-6-23,494
323,56,Java development,1,67,60,6,1970-5-9,471
324,56,Linux development,5,62,67,3,1953-5-27,437
325,57,Java development,4,76,74,10,1971-4-4,1033
326,57,Backend development,3,73,74,7,1966-1-20,330
327,57,Windows app development,10,88,98,3,1940-2-6,849
328,57,Full stack development,6,52,92,3,1959-5-29,551
329,57,C++ development,4,96,66,7,1962-7-23,404
330,57,Backend development,8,86,78,9,1972-11-28,387
331,57,Full stack development,3,78,74,8,1979-10-6,818
332,58,Backend development,9,67,51,1,1966-3-5,278
333,58,Backend development,10,70,62,10,1977-10-25,119
334,58,C++ development,5,92,57,8,1941-12-2,625
335,58,Full stack development,5,85,67,6,1963-8-15,694
336,59,Website design,5,54,50,2,1968-8-21,516
337,59,Full stack development,2,81,55,2,1969-11-2,1039
338,59,Cross platform development,1,70,81,10,1945-11-14,612
339,59,Windows app development,8,83,54,8,1950-5-10,945
340,59,Java development,3,58,55,10,1963-11-22,432
341,60,Cross platform development,8,72,85,1,1953-12-25,664
342,60,Backend development,2,78,90,4,1966-6-2,966
343,60,Android app development,2,72,80,9,1943-12-19,267
344,60,C++ development,5,86,98,2,1962-3-26,809
345,60,Website design,9,54,63,4,1964-4-15,541
346,60,Android app development,5,91,53,6,1941-3-16,1095
347,60,Cross platform development,1,67,76,1,1956-2-21,141
